layer,index,singular_value
6,16,350.14391729671485
6,17,337.6369316481359
6,18,321.20207780404166
6,19,305.7465084130976
6,20,300.67091287065796
6,21,286.89015127040363
6,22,279.8162125533377
6,23,274.3390328447797
6,24,267.88136816721646
6,25,251.01574950220297
6,26,245.08020800365313
6,27,239.74662142469248
6,28,234.44382166977294
6,29,230.49424852429524
6,30,215.8935962847458
6,31,210.02055508777676
6,32,203.11799586692385
6,33,195.45924334828456
6,34,193.3904081772426
6,35,188.52569682261606
6,36,183.8469115755557
6,37,182.31436813862186
6,38,180.12568617929531
6,39,173.65314410538716
6,40,167.8545796018341
6,41,165.96927499998455
6,42,160.2282527304446
6,43,156.1112628534605
6,44,151.42165407582698
6,45,150.8494169568613
6,46,147.17762406127954
6,47,144.1028754493054
6,48,142.63300773091396
6,49,138.07816682873397
6,50,133.853383739798
6,51,132.37883765308925
6,52,130.7067719618216
6,53,129.47139602318745
6,54,127.40777507041884
6,55,124.49713907179007
6,56,121.998544886672
6,57,120.42294156433475
6,58,118.83366778431737
6,59,117.3260859643328
6,60,115.88196813562878
6,61,112.55215979753234
6,62,110.48007969028453
6,63,108.89188576815995
6,64,106.87312050032703
6,65,105.71619192495612
6,66,105.03559774836954
6,67,104.03466542144672
6,68,102.33344651061456
6,69,101.40423982610425
6,70,100.29081264761588
6,71,98.89220065682346
6,72,97.6439985476536
6,73,96.74618886402237
6,74,94.1296263747518
6,75,93.54201563048903
6,76,92.87969058714695
6,77,91.8998522627236
6,78,89.84491035389888
6,79,88.9758737246136
6,80,88.23627893253266
6,81,87.1175777532726
6,82,82.19305302100354
6,83,81.85838260351865
6,84,81.00276248793926
6,85,80.5190672928792
6,86,79.39303534311232
6,87,77.40822440094391
6,88,76.41941462126253
6,89,75.79975144782588
6,90,74.84858755775038
6,91,73.35987045487035
6,92,72.70132981592978
6,93,71.10092872452539
6,94,70.56112598984843
6,95,68.91543420253724
6,96,67.62557359156423
6,97,65.59248691073026
6,98,64.87260346872023
6,99,63.7221654085824
6,100,59.96803892960693
6,101,58.627616439722864
6,102,58.13337223379515
6,103,53.212621003669796
6,104,51.802758285692285
6,105,47.4589608426029
6,106,44.69151284821777
6,107,44.153184607253394
6,108,42.99991010425983
6,109,42.628366814359076
6,110,41.863012913648475
6,111,35.655154025793955
6,112,31.463665646644756
6,113,29.394110328116756
6,114,28.364771716587835
6,115,22.850122289544146
6,116,21.568304628445855
6,117,17.895641418026482
6,118,17.308932531003066
6,119,16.496402741496734
6,120,15.79056106849924
6,121,14.762281672134051
6,122,13.547403674449594
6,123,12.887574305794828
6,124,6.672651745810473
6,125,6.015060396108475
6,126,4.704277144680658
